Text sin stop words,IsToxic,IsAbusive,IsThreat,IsProvocative,IsObscene,IsHatespeech,IsRacist,IsNationalist,IsSexist,IsHomophobic,IsReligiousHate,IsRadicalism
looks ready cut heads isis sympathizer going maybe 5 % care issue hand 95 % want loot stores fuck shit ...,1,0,0,0,0,1,0,0,0,0,1,0
"lol , "" shoot apprehend "" . idiot .",1,1,0,0,0,0,0,0,0,0,0,0
"case overshadowed cops murdered kid fake sword Saratoga Springs , Utah . outraged Mike brown case . murder happened Utah deal . Cops provided non lethal weapons . shooting Utah unwarranted ran , know ran lunged police fake sword taken opportunity immediate action right . ran shot 6 times . know large group cops   corrupt murderers new . ran police times teens , cops pursue find hiding . 6 bullets ending life . said paper , Saratoga Springs 5 % black population .. 5 % .  ",0,0,0,0,0,0,0,0,0,0,0,0
man zionist jew look ypu jewnesss face   cnn employ zionist sympathisers neo - con racists wolf blitzer emplpyeee,1,0,0,0,0,1,1,0,0,0,0,0
""" blood street worried words "" .... getting tired way mainstream media treating like idiots follow condescending , irrelevant , distracting , disparaging narrative ... Step CNN",0,0,0,0,0,0,0,0,0,0,0,0
"stop criminals wo nt shot , simple",1,1,0,1,0,0,0,0,0,0,0,0
LIKE TURTLES !,0,0,0,0,0,0,0,0,0,0,0,0
Massri needs education .,1,1,0,0,0,0,0,0,0,0,0,0
CNN mother fuckers .... fuck peace shit !,1,1,0,0,1,0,0,0,0,0,0,0
"statement , think ali sheep butt fucker masri ak fight syria ..",1,1,0,1,1,1,1,0,0,0,0,0
Hahahahaha .   guy Ed Bassmaster character TESTE . Ed Bassmaster semi - retarded character cross - eyed like guy,1,1,0,0,0,0,0,0,0,0,0,0
childish cops sleep night ?,0,0,0,0,0,0,0,0,0,0,0,0
completely idiot having minutrs fame,1,1,0,0,0,0,0,0,0,0,0,0
hope god guys falling ol banana tailpipe bullshit news giving,1,1,0,0,0,0,0,0,0,0,0,0
CNN Bullcrap !,1,1,0,0,0,0,0,0,0,0,0,0
"Alright . entire case crap . people saying white people racist , calling bad names "" racist "" , like , . extensive investigations prove boy death self defense . , defending KKK thing . , defending helpless citizens Ferguson . boy died . care white black . care people Ferguson treating town . cared incident , hold memorials express feelings . helping justice . matters boy dead . . Grand Jury decided . ?",0,0,0,0,0,0,0,0,0,0,0,0
guy know happened hands,0,0,0,0,0,0,0,0,0,0,0,0
Ayy CNN lookin like pussies,1,1,0,0,1,0,0,0,0,0,0,0
Smirconnish - handed guy world .   guy Masri idiot .,1,1,0,0,0,0,0,0,0,0,0,0
"Masri total idiot "" know evidence , come conclusions instead "" 
 clue , nt attack cop try gun rush finally gets car wo nt shot duhhh . 
 Masri , Brown icecream beating ground defend ? 
 BTW , Browns momma gramma violently assaulted people selling T - shirts memory Brown people hospital , stole money trashed shop probably charged , know sort mentality Brown raised thug wanna , caused death .",1,1,0,0,0,1,1,0,0,0,0,0
break Bassem making sense debate .,0,0,0,0,0,0,0,0,0,0,0,0
"Let reverse rolls ! Black racist   cops rich white communities.(but prove racist )   white man gets pissed intolerable condition . unload clips high caliber ammo point blank range audacity questioning authority . Americans need alert elitist agenda set presidents questioning authority . elitist upper - class problem . Prison culture CIA drug Cartels . Exporting jobs importing cheap labor , elitist bailed support corrupt system . turn c past race issue Govt . incites divide working class , hardly working class Govt work . homeless class . Let Western history role big money plays clusterfuck designed destroy Nation Destroyed point . , ask .",1,0,0,0,0,1,1,0,0,0,0,0
moron talking peaceful ?   burning nation flag idiot .   suppose old knowledge .   babies making noise .,1,1,0,0,0,0,0,0,0,0,0,0
"  CIA agent provocateur operative kick - start riots New American Civil War . African American rehearsed "" Ebonics "" transparent .",0,0,0,0,0,0,0,0,0,0,0,0
shoot black idiot ? giggle inside :),1,1,0,1,0,1,1,0,0,0,0,0
people sick ! man speaking truth y' mad . Trying justify young boy shot killed smh . Y'all devil disease earth ! glad sun burns asses extinction planet ! Half animal half devil cave beasts ! ! !,1,1,0,1,1,0,0,0,0,0,0,0
world changing m mad police d dam isis gon na come s time kill faucks,1,1,1,1,0,1,0,0,0,0,1,0
"CNN propaganda , people let hear Ferguson .",0,0,0,0,0,0,0,0,0,0,0,0
"waste time talking idiot . "" know m sayin . "" "" believe want believe . ""- Yup- hell facts evidence . Loser .",1,1,0,0,0,0,0,0,0,0,0,0
"News fucktards ........... puppet players,,,,,all paid liars",1,1,0,0,0,0,0,0,0,0,0,0
Bassem right express .... freedom expression ..... right .... amendment Constitution ..... nt think CNN competent .,0,0,0,0,0,0,0,0,0,0,0,0
"guy riot work ? Orrrr , let guess fucks day .",1,1,0,0,0,0,0,0,0,0,0,0
Mr. Masri 100 % right better .,0,0,0,0,0,0,0,0,0,0,0,0
tell racist white man shoots black man ? racist black man shoots white man ? cases turn instantly racist ones makes sense .,0,0,0,0,0,0,0,0,0,0,0,0
Racial profiling police intimidation ? robbed store got killed result . Fucking excuses man . Black people arrested commit strong arm robbery . black people violent fear getting like animal . actually said worry warrants . lol . Fucking piece human garbage .,1,1,0,0,0,0,0,0,0,0,0,0
Wrong Mother Fucker . shoot apprehend,1,1,0,0,1,0,0,0,0,0,0,0
"Black white crimes big topic Ferguson case . came brag Finnish cops firearm 6 times year , 2 time human , 2 times warn 2 times kill wounded animal . 5 million ppl 0,5 gun capita .",0,0,0,0,0,0,0,0,0,0,0,0
"heading reads , protesters far",0,0,0,0,0,0,0,0,0,0,0,0
Muslim man mind peace . wants stir dissonance trouble Americans racist accusations . MAN GOAL .,1,0,0,0,0,1,0,0,0,0,1,0
"Add imbecile bunch , reporter incompetent bastard",1,1,0,0,0,0,0,0,0,0,0,0
interviewer right . guy respect paramilitary police killing getting away . Ha !,1,1,0,1,0,0,0,0,0,0,0,0
dumb people,1,1,0,0,0,0,0,0,0,0,0,0
bassem think walmart hiring holidays . job loser ! ! !,1,1,0,0,0,0,0,0,0,0,0,0
Teen faces life prison pot brownies . 90 year old man gets arrested feeding poor . Police officer set free charges whatsoever killing teenager . people wrong ?,0,0,0,0,0,0,0,0,0,0,0,0
""" know sayin "" ... wow",0,0,0,0,0,0,0,0,0,0,0,0
"YEah    right 1 white shot    black hell break    lose , black shot black protest maybe start    protest black shotting black , buy thier story ,",1,0,0,0,0,1,1,0,0,0,0,0
"Lets Steal convenience store lets punch cop face shot 6 times , lets black people white apologists run street setting buildings fire , fucking dirty gutter rats living welfare causing violence , look rest black people live ... dirties Ebola plague ridden continent , lucky white countries come cure dumb asses .",1,0,0,0,0,1,1,0,0,0,0,0
dude fuck punk police,1,1,0,0,1,0,0,0,0,0,0,0
stupid arab . Police shoot apprehend ? Lmao works attacked !,1,0,0,0,0,1,1,0,0,0,0,0
5:09 plain n simple truth,0,0,0,0,0,0,0,0,0,0,0,0
Lmfao dude taking like ? ? ? -_\ hear talking know saying !   Smh,0,0,0,0,0,0,0,0,0,0,0,0
"understand anger , war answer !",0,0,0,0,0,0,0,0,0,0,0,0
Iz nuffinz !,0,0,0,0,0,0,0,0,0,0,0,0
"ignorant coward , emotion , estrogen apathy . hell come ? Fuckin racially ambiguous blackwashed loudmouth . chose pathetic man interview .  ",1,1,0,1,0,1,1,0,0,0,0,0
"motherfucker angry , understand",1,1,0,0,1,0,0,0,0,0,0,0
Let straight present facts mass media beginning . 18 yr old ( legal aspects adult ) robs convince store . criminal later flees seen aprehended police . Resists arrest altercation occurs . police ( case similar uses force ) . Criminal killed . killing goes court . randomly selected jury views evidence hears witnesses pertain case .   Radom jury reaches unanimous verdict guilty . m sorry protestors DEMOCRACY !,1,1,0,1,0,0,0,0,0,0,0,0
protestors work living ? ?    ( time ) ....,0,0,0,0,0,0,0,0,0,0,0,0
"people obey law , like normal human beings . happen . < - WINNER",0,0,0,0,0,0,0,0,0,0,0,0
indictment ... moving right .,0,0,0,0,0,0,0,0,0,0,0,0
act like animals treated like animals,1,0,0,0,0,1,1,0,0,0,0,0
  Michael Smerconish + Hack .  ,0,0,0,0,0,0,0,0,0,0,0,0
"Sure ... totally looked FACTUAL evidence trial ... 

 like special treatment . HEY , knew going happen , ?",1,1,0,1,0,0,0,0,0,0,0,0
tellin fact steal swisher sweets value life ... admit racist quit bunch FAGGOTT bitches,1,1,0,0,0,0,0,0,0,0,0,0
"Proof Blacks victims : 
 1 . Statistically Cops kill whites blacks , whites necessary save lives cost , places like Ferguson lose minds . 
 2 . Statistically 93 % murdered blacks killed blacks , whites consisting 3 % murderers 4 % races . 
 3 . Whites enslaved blacks , 150 years . Europeans(the race started America later enslaved Africans ) began searching North Africa establish trade goods natives . 1520s late 1600s whites enslaved . Later tables turned . boys girls called ' Karma . ' 
 4 . Statistically 50 % murders Blacks , despite making 14.1 % entire population , despite whites 63 % population 46 % murders . 
 5 . Whites 38 % welfare recipients blacks making 39 % . extreme realize 39%(blacks ) consists 14.1 % , whith 38%(whites ) making 63 % . Meaning individual black person 5 times likely whites use welfare .",1,0,0,0,0,1,1,0,0,0,0,0
"White man finish sentence 
 America needs wake up!!the truth murder !",1,1,0,0,0,1,1,0,0,0,0,0
sure avoid getting guy taxi cab .,0,0,0,0,0,0,0,0,0,0,0,0
"FUCK MEDIA 
 Bassem right find real investigate . exaggerating want views MONEY . 

 FUCK SELFISH FUCKS 

 people DISGUSTING . know bare NASTY selves .",1,1,0,1,1,0,0,0,0,0,0,0
CNN youse guys going far tell bad going happen bad going benefit care money Ellen better like rest careful Russia careful kids,0,0,0,0,0,0,0,0,0,0,0,0
guy needs grow .,0,0,0,0,0,0,0,0,0,0,0,0
"Shoot apprehend ? Easier said .. evidence presented , Michael brown attackin darren shot twice .... People misconception , like movies , gun shot body , disable attacker . false belief .. cases people attacking running shot 2 - 3 times . god sake , 50 cent shot 9 times alive ... attacked 6 ft 3 200 somthing pound person , , hard I""m goin shoot apprehend . michael brown copnducted like gentleman , happened . aggresive piece shit , muslim shit head better . filled rage answer . Progression comes tolerance violence .",1,0,0,0,0,1,1,0,0,0,1,0
"Brown , daily killings non - whites white cops reality .",0,0,0,0,0,0,0,0,0,0,0,0
"guy hired ? 
 idiot",1,1,0,0,0,0,0,0,0,0,0,0
guy moron .,1,1,0,0,0,0,0,0,0,0,0,0
Cnn ... touch .. close idiots .. people watching comedy reporting.lol,1,1,0,0,0,0,0,0,0,0,0,0
"Bassem Masri criminal , thug psychopath . credibility , humanity . needs locked jail cell . Time rubber - room straight - jacket Bassem . intellectually dishonest butt community .  ",1,1,0,0,1,0,0,0,0,0,0,0
CNN joke !,1,1,0,0,0,0,0,0,0,0,0,0
wonder police expect happen continually abuse kill people   ? honestly expect public   ? lay let cops turn massive street gang allowed kill consequence ? rat cornered defend ..,1,1,0,1,0,0,0,0,0,0,0,0
""" want sons death vain . "" "" LET BURN BITCH ! "" Stupid fucks destroying livelihoods . Peaceful protests fucking ass .",1,1,0,0,1,0,0,0,0,0,0,0
guy hero .,0,0,0,0,0,0,0,0,0,0,0,0
"sound spitting "" Arab expression "" ?",0,0,0,0,0,0,0,0,0,0,0,0
Wow ! ! !,0,0,0,0,0,0,0,0,0,0,0,0
think indecent unessacerry event person shot . Mr. Brown stole intirely police officers fault .,0,0,0,0,0,0,0,0,0,0,0,0
"genuine failure leadership President United States .   nice town , Ferguson , declared state emergency . martial law , federal troops stuffed town , non - residents pushed .   knew going riot .   ... President ?   want offend black community . want shot .   let ' er burn baby burn .   , real leader ways .   Mr. President , sir , failed reprehensibly - accuse you.﻿",1,1,0,1,0,0,0,0,0,0,0,0
"know irradiating commercial strawberry seeds , wo nt germinate ?",0,0,0,0,0,0,0,0,0,0,0,0
Arabs Hate black people . ISIS sympathizer wants community . Nonsense .,1,0,0,0,0,1,1,0,0,0,0,0
life understand people think Mike Brown martyr cause . man criminal . black people criminals ? Absolutely . white criminals ? Hispanic criminals ? betcha . situation EXACTLY races reversed issue .,1,0,0,0,0,1,1,0,0,0,0,0
👍,0,0,0,0,0,0,0,0,0,0,0,0
"Old mans way tried forever worked ,   look .",0,0,0,0,0,0,0,0,0,0,0,0
"3:44 
 U wat m sayin",0,0,0,0,0,0,0,0,0,0,0,0
badge bitch half . fuck police ! !,1,1,0,0,0,0,0,0,0,0,0,0
"ARAB PIECE SHIT , , , ACTING LIKE GETS HARRASSED , , PARENTS STORE ACTS LIKE GETS TREATED LIKE BLACK PEOPLE LOL ... people steals store , , moron piece shit",1,1,0,0,1,1,1,0,0,0,0,0
"people like guy makes America shake head . 

 Nawamsain ' ? 

 fuck .",0,0,0,0,0,0,0,0,0,0,0,0
"Police brutality affects .   black issue , "" black "" issue people black tend stop listening .   End racial profiling police fuck ?   Police care color ,   policeman fuck .   look youtube notice brutality discriminate .  

 stop racial bullshit , want cops finally held accountable powertripping actions , need realize playing "" black , black , black "" card , makes people black feel sympathetic race issues .",1,1,0,1,1,0,0,0,0,0,0,0
CHRISTIANS ROCK !,0,0,0,0,0,0,0,0,0,0,0,0
good CNN anchor seen ...,0,0,0,0,0,0,0,0,0,0,0,0
Islamic Terrorist insighting hatred violence disguise african citizen time american citizens realise true enemy islam black white people,1,0,0,0,0,1,0,0,0,0,1,0
Fuck CNN corrupt demon worshiping fools,1,1,0,0,0,0,0,0,0,0,0,0
guy dumbass . claims policed hired thugs took phone shot rounds evidence claims .,1,1,0,0,0,0,0,0,0,0,0,0
"Mike browns father buy .... got caught video saying "" Burn bitch "" reffering Ferguson ................ dude interviwing thug given air time .............",1,1,0,0,0,0,0,0,0,0,0,0
"Brown isused excuse loot peoples shit destroy neighborhoods , haaaa typical ghetto bullshit . Ya ai hood , ya ghetto bitches collecting free rent govt fighting govt . occupy Wall Street fagets , clean highways ! ! ! ! !",1,0,0,0,0,1,1,0,0,0,0,0
WTF ! ! guy got mugged iphone 6 ferguson ? ? video hilarious ! !,0,0,0,0,0,0,0,0,0,0,0,0
"* TRAYVON MARTIN MICHAEL BROWN COMMON ? *  
 * REAL REASON RIOTS DARE SPEAK . * 

 Zimmerman case common factors race mongers like Al   Sharpton , CNN MSNBC whipping black community racism racism injustice injustice . 

 year promise , Zimmerman Michael Brown style case . 
 
 * bigger question similar case ? *  

 face REAL   root cause   problems suffered black Americans - poverty , high crime , high black black murder rate , far easier turn blind eye , point finger shout RACISM !   

 * ROOT CAUSE BLACK PROBLEMS AMERICA RACISM ? * 

 root cause break black American family high number fatherless children growing single parent homes . governments statistics reveal children born fatherless homes likely drop school , likely history unemployment , high chance poverty ,   likely serve time prison - list goes . 

 look fact 70 % black children grow fatherless home compared 24 %   white children number begins explain black poverty black crime high blacks America 70 % black mothers welfare . 

 Complied dysfunctional gangster - rap culture glorifies promiscuity , drug dealers abuse women power gun , problem beginning emerge reason deaths Trayvon Martin Michael Brown begin come clear . 

 Black Americans , 13 % minority , 54 % dying probably 54 % killing . needs said . black culture violence financed welfare system .  

 * CONCLUSION * 

 * Like said -   "" race based case "" sooner - fact end . long race mongers like Sharpton , CNN MSNBC continue promote idea racism disintegration black American family Ferguson corner ! *",0,0,0,0,0,0,0,0,0,0,0,0
"shots disable man ? officer felt threatened backup ? shots man continue threaten ? transcript witness evidence released questions unanswered answered , pray involved find peace terrible encounter . Amen  ",0,0,0,0,0,0,0,0,0,0,0,0
"thought "" waste skin ' catching   desert 3300fps popular guy    "" free   people allowed "" party . live bookends country . rest libshits ' justice know   MAJORITY   Real Americans   despise way . Know . day continue exist ying yang motherjumper !",1,1,0,0,1,1,0,0,0,0,0,0
"Wow , - hole makes CNN interviewer reasonable balanced ....",1,1,0,0,1,0,0,0,0,0,0,0
argue idiot,1,1,0,0,0,0,0,0,0,0,0,0
"ratchet!lol 
",0,0,0,0,0,0,0,0,0,0,0,0
"STFU MUSLIM PIECE SHIT !    cops fired rounds ass . 

 better ... lets cut head pour pigs blood throat . willing bet dirty fckn Islamic bastards set fires blacks .",1,1,1,1,0,1,0,0,0,0,1,0
"song addressing Ferguson issues today . listen thank 

 Tha Bigger Picture - SoundCloud 
 Listen Tha Bigger Picture Kool D # np # SoundCloud 
 http://soundcloud.com/derek-savage-3/tha-bigger-picture",0,0,0,0,0,0,0,0,0,0,0,0
"Michael Smerconish little bitch . like subtly tries insult guy guy laughs . shows low CNN stoop garbage hole CNN .. piece ass sucking work Michael Smerconish .    guess wonder home 
 DON'T WATCH CNN .    ( CRAP NEWS NETWORK )",1,1,0,0,1,0,0,0,0,0,0,0
"THANKSGIVEN CHRISTMAS    Owners Business Looted , stole , Burned good reason YEARS COME ,     People serve ones Burned .      God mercy     .",0,0,0,0,0,0,0,0,0,0,0,0
grand jury amd processor power justice system amd connections police departments sayin honestly,0,0,0,0,0,0,0,0,0,0,0,0
"protecting serving , people like Michael Brown . guy deserved killed , cry ...",1,1,0,1,0,0,0,0,0,0,0,0
"cop shot white guy , riots . shot black guy , think black . Look evidence skin color . throws race card crap like .",0,0,0,0,0,0,0,0,0,0,0,0
"find amusing protesters claim fighting racism blind racism . reports black people attacking white people . couple days ago , reported white man beaten death hammer black teens St. Louis . Yeah clearly racial intent . Fucking hypocrites .  ",1,1,0,1,0,1,1,0,0,0,0,0
"EXCELLENT ! ! ( media - slaves ) wait speak out,,so gets lost tragedy .. travesty happening going thee origins USA . Nøbody free . Thee illusion real . & thee struggle . & experiencing collision experiment . Psychological warfare attrition . typing that,,always aware baiting .. allow ' ' create ' helter skelter '",0,0,0,0,0,0,0,0,0,0,0,0
"Michael Brown , rob store assaulted store owner . fought police officer Darren Wilson police window went officer gun , shot killed . Brown shirt saying armed . happens criminal activity , regardless color skin . linch mob mentality way , public pressure facts support Browns activity day . wonder Brown wanted death ( suicide ) cop family sue .",1,1,0,1,0,0,0,0,0,0,0,0
fucking fuck defend properly joke,1,1,0,0,1,0,0,0,0,0,0,0
Wow .. Think going buy bullet proof vest .. shit ! black like everybody tryin ' shoot . !,1,1,0,1,0,0,0,0,0,0,0,0
black officer shot white guy fine black people .   racist .,1,0,0,0,0,1,1,0,0,0,0,0
"delusional moron anger justified Mike , , unjustly killed . , hand , Mike malicious person , shooting justified , rioting justified . know happened day , riots taking place basis assumptions .  ",1,1,0,0,1,0,0,0,0,0,0,0
"OMG ! TERRORIST ! ISIS UNDERCOVER - AGENT ! , Americans ? ? ? ? ARREST !",1,0,0,0,0,1,1,0,0,0,0,0
letting real people camera ... truth told purest form .,0,0,0,0,0,0,0,0,0,0,0,0
criminal kids shot police everyday . Plus Mike Brown bad criminal record started fight .,0,0,0,0,0,0,0,0,0,0,0,0
"city , , dumb people .    try reason .",1,1,0,0,0,0,0,0,0,0,0,0
counties middle east counties b,1,0,0,0,0,1,1,0,0,0,0,0
"people shot everyday , come s getting attention",0,0,0,0,0,0,0,0,0,0,0,0
"history mankind people color , creed cultures found way rise ashes oppression self betterment self preservation , blacks ? ? ? ? ? ? ? ? ? ? ? ? ? ? ! ? enlighten unknown phenomena .",1,0,0,0,0,1,1,0,0,0,0,0
fucking douche bag,1,1,0,0,1,0,0,0,0,0,0,0
CNN needs hire man . real American . trouble .,1,1,0,1,0,0,0,0,0,0,0,0
"feral hoodlum , rest longer need fear thuggish behavior . Upset ? Blame parents- failed raise right provide proper supervision . , defective start . way sounds like case quality control . Thank Officer Wilson job .",1,0,0,0,0,1,1,0,0,0,0,0
government killing population !,1,1,0,1,0,0,0,0,0,0,0,0
FAKE!! ... CNN BS,1,1,0,0,0,0,0,0,0,0,0,0
need basics . savages riot protest use German Shepard . shoot animals ...,1,1,1,0,0,1,1,0,0,0,0,0
hell interviewing ? guy idiot .,1,1,0,0,0,0,0,0,0,0,0,0
"Oh God . fucking love Arab guy . wise words . seriously open eyes world . sees things , rare world today . big fucking amen guy ... Wake fuck America",1,1,0,0,1,0,0,0,0,0,0,0
"Mr. Smerconish , Sir , journalist . journalists claim interview object / searching 15mins fame interview . / / speak direction wanted . 
 - , trying DEFAME person . illegal ! definitively serve time !  
 school truly obvious handle word mouth care critical Authorities ! 
 wait tons paper shows know ... ran , stopped , hands air got shot , multiple times . doubt happened witnesses says . , , investigative journalist goes ask people . 

 opinion superior ! CHAIR REAL REPORTING !    SHAME ! ! ! SHAME CNN HIRING PROFESSIONALS ! !",1,1,0,1,0,0,0,0,0,0,0,0
"Arab rapping 3:14 
 ahead bro .... LOL 
 getto",1,0,0,0,0,1,1,0,0,0,0,0
dude got knocked phone stolen Ferguson ?,0,0,0,0,0,0,0,0,0,0,0,0
"Bassem Masri uneducated idiot . listen words coming mouth , sounds like stupid little kid . Sorry , grow fuck learn laws instead repeating "" FREEDOM SPEECH "" , "" I'M CITIZEN "" , "" AHEAD BRO , I'LL LISTEN "" . 

 Somebody shut guy .",1,1,0,0,1,0,0,0,0,0,0,0
"“ White children deserve future ? 
 Tens millions non - Whites flooding White countries year , decades , mean Whites minority country founded . 
 Black countries remain majority Black , Asian countries remain majority Asian . 
 White countries affected . genocide international law . 
 anti - Whites genocide ; diversity . 
 Diversity means chasing White child . 
 Anti - racist codeword anti - White . ”",1,0,0,0,0,1,1,0,0,0,0,0
Bassem Masri said bro !,0,0,0,0,0,0,0,0,0,0,0,0
"guy idiot , best , lost ! !   BOZO ! !",1,1,0,0,0,0,0,0,0,0,0,0
period big mouth MORON,1,1,0,0,1,1,1,0,0,0,0,0
"Muslims like spit white people . 
 Brought Muslims nggrs wait   big plasma cheap   tv looted shop .",1,0,0,0,0,1,1,0,0,0,1,0
Yep Muslim bitch,1,0,0,0,0,1,0,0,0,0,1,0
Masri unemployed,1,1,0,1,0,0,0,0,0,0,0,0
"wait area majority African Americans , majority people pulled searched arrested area African American ?  ",0,0,0,0,0,0,0,0,0,0,0,0
"video liberal propaganda divide people fuel chaos Ferguson . Stay tuned trial facts deciding "" evil white people "" source problems . mean straight watch trial , fox news , CNN , MSNBC .",0,0,0,0,0,0,0,0,0,0,0,0
